platform,release_date,game_name,db_name,year
PS3,30-Nov-07,The Golden Compass,The Golden Compass,2007
X360,30-Nov-07,The Golden Compass,The Golden Compass,2007
DS,30-Nov-07,The Golden Compass,The Golden Compass,2007
PSP,30-Nov-07,The Golden Compass,The Golden Compass,2007
X360,8-Aug-05,Madden NFL 06,Madden NFL 06,2005
PS2,11-Nov-02,NASCAR: Dirt to Daytona,NASCAR: Dirt to Daytona,2002
GC,27-Nov-02,NASCAR: Dirt to Daytona,NASCAR: Dirt to Daytona,2002
PC,12-Sep-01,Madden NFL 2002,Madden NFL 2002,2001
PS2,12-Sep-01,Madden NFL 2002,Madden NFL 2002,2001
XB,12-Sep-01,Madden NFL 2002,Madden NFL 2002,2001
GC,12-Sep-01,Madden NFL 2002,Madden NFL 2002,2001
PS2,20-Sep-04,Def Jam: Fight for NY,Def Jam: Fight for NY,2004
XB,20-Sep-04,Def Jam: Fight for NY,Def Jam: Fight for NY,2004
GC,20-Sep-04,Def Jam: Fight for NY,Def Jam: Fight for NY,2004
PS2,28-Apr-03,NBA Street Vol. 2,NBA Street Vol. 2,2003
XB,28-Apr-03,NBA Street Vol. 2,NBA Street Vol. 2,2003
GC,28-Apr-03,NBA Street Vol. 2,NBA Street Vol. 2,2003
2600,1980,Fishing Derby,Fishing Derby,1980
PS3,15-Sep-09,Wet,Wet,2009
X360,18-Sep-09,Wet,Wet,2009
PS3,14-Nov-06,Sonic the Hedgehog,Sonic the Hedgehog,2006
X360,24-Nov-06,Sonic the Hedgehog,Sonic the Hedgehog,2006
2600,Q4 1982,Karate,Karate,1982
Wii,13-Mar-07,Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2007
PC,10-Oct-06,Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006
PS2,10-Oct-06,Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006
PS3,10-Oct-06,Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006
XB,10-Oct-06,Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006
X360,17-Oct-06,Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006
PSP,21-Nov-06,Tiger Woods PGA Tour 07,Tiger Woods PGA Tour 07,2006
2600,1980,Circus Atari,Circus Atari,1980
PC,1-Jun-04,The Chronicles of Riddick: Escape from Butcher Bay,The Chronicles of Riddick: Escape from Butcher Bay,2004
PS3,13-Aug-04,The Chronicles of Riddick: Escape from Butcher Bay,The Chronicles of Riddick: Escape from Butcher Bay,2004
XB,22-Jul-04,The Chronicles of Riddick: Escape from Butcher Bay,The Chronicles of Riddick: Escape from Butcher Bay,2004
X360,3-Dec-04,The Chronicles of Riddick: Escape from Butcher Bay,The Chronicles of Riddick: Escape from Butcher Bay,2004
2600,1978,Maze Craze: A Game of Cops 'n Robbers,Maze Craze: A Game of Cops 'n Robbers,1978
PC,30-Sep-08,Silent Hill: Homecoming,Silent Hill: Homecoming,2008
PS3,27-Feb-09,Silent Hill: Homecoming,Silent Hill: Homecoming,2009
X360,30-Sep-08,Silent Hill: Homecoming,Silent Hill: Homecoming,2008
