platform,release_date,game_name,db_name,year
GBA,26-Nov-03,Super Duper Sumos,Super Duper Sumos,2003
PS2,23-Jun-05,The King of Fighters: Maximum Impact - Maniax,The King of Fighters: Maximum Impact - Maniax,2005
XB,23-Jun-05,The King of Fighters: Maximum Impact - Maniax,The King of Fighters: Maximum Impact - Maniax,2005
Wii,27-Apr-12,Combat Wings: The Great Battles of WWII,Combat Wings: The Great Battles of WWII,2012
PS3,7-Feb-12,Combat Wings: The Great Battles of WWII,Combat Wings: The Great Battles of WWII,2012
X360,10-Feb-12,Combat Wings: The Great Battles of WWII,Combat Wings: The Great Battles of WWII,2012
GC,17-Apr-03,Tube Slider,Tube Slider,2003
PSP,15-Aug-06,Payout Poker & Casino,Payout Poker & Casino,2006
Wii,19-Feb-09,New Play Control! Metroid Prime,Wii de Asobu: Metroid Prime,2009
PC,24-Mar-09,Legacy of Ys: Books I & II,Legacy of Ys: Books I & II,2009
PS2,24-Feb-09,Legacy of Ys: Books I & II,Legacy of Ys: Books I & II,2009
Wii,21-Jul-09,Saint,Saint,2009
DS,19-Jun-09,Steal Princess,Steal Princess,2009
3DS,2001,Mario Tennis,Mario Tennis,2001
PC,26-Nov-09,Runaway 3: A Twist of Fate,Runaway: A Twist of Fate,2009
DS,18-May-10,Runaway 3: A Twist of Fate,Runaway: A Twist of Fate,2010
PC,9-Sep-06,Cabela's Alaskan Adventures,Cabela's Alaskan Adventure,2006
PS2,9-Sep-06,Cabela's Alaskan Adventures,Cabela's Alaskan Adventure,2006
X360,9-Sep-06,Cabela's Alaskan Adventures,Cabela's Alaskan Adventure,2006
PS2,26-Aug-04,Virtua Quest,Virtua Quest,2004
GC,26-Aug-04,Virtua Quest,Virtua Quest,2004
PS2,28-Oct-05,Without Warning,Without Warning,2005
XB,28-Oct-05,Without Warning,Without Warning,2005
XB,23-Jul-03,Dinotopia: The Sunstone Odyssey,Dinotopia: The Sunstone Odyssey,2003
GC,3-Aug-03,Dinotopia: The Sunstone Odyssey,Dinotopia: The Sunstone Odyssey,2003
DS,8-Feb-07,Jet Impulse,Jet Impulse,2007
DS,29-Sep-09,Dream Dancer,Dream Dancer,2009
Wii,8-Sep-10,Dance It's Your Stage,Dance! It's Your Stage,2010
PC,8-Sep-10,Dance It's Your Stage,Dance! It's Your Stage,2010
PS3,8-Sep-10,Dance It's Your Stage,Dance! It's Your Stage,2010
X360,8-Sep-10,Dance It's Your Stage,Dance! It's Your Stage,2010
PC,20-Oct-06,Football Manager 2007,Football Manager 2007,2006
X360,1-Dec-06,Football Manager 2007,Football Manager 2007,2006
Wii,26-Dec-10,Ferrari: The Race Experience,Ferrari: The Race Experience,2010
PS3,13-Sep-11,Ferrari: The Race Experience,Ferrari: The Race Experience,2011
XB,23-Jul-03,Aquaman: Battle for Atlantis,Aquaman: Battle for Atlantis,2003
GC,30-Jul-03,Aquaman: Battle for Atlantis,Aquaman: Battle for Atlantis,2003
PC,25-Feb-15,Homeworld: Remastered Collection,Homeworld Remastered Collection,2015
PC,TBD,Brothers in Arms: Furious 4,Brothers in Arms: Furious 4,2014
PS3,TBD,Brothers in Arms: Furious 4,Brothers in Arms: Furious 4,2014
X360,TBD,Brothers in Arms: Furious 4,Brothers in Arms: Furious 4,2014
Wii,25-Jan-08,PDC World Championship Darts 2008,PDC World Championship Darts 2008,2008
PC,25-Jan-08,PDC World Championship Darts 2008,PDC World Championship Darts 2008,2008
PS2,8-Feb-08,PDC World Championship Darts 2008,PDC World Championship Darts 2008,2008
X360,13-Jun-08,PDC World Championship Darts 2008,PDC World Championship Darts 2008,2008
PSP,26-Sep-08,PDC World Championship Darts 2008,PDC World Championship Darts 2008,2008
PS2,5-Aug-03,Freaky Flyers,Freaky Flyers,2003
XB,5-Aug-03,Freaky Flyers,Freaky Flyers,2003
GC,8-Aug-03,Freaky Flyers,Freaky Flyers,2003
PC,18-Feb-21,Inversion,Inversion,2021
